"County","Region","Super_Region","South_East","Country","Density","Mean_Age","Age_0_to_19","Age_20_to_29","Age_65_plus","Female","Cisgender","Heterosexual","Married","Cohabiting","Same_Sex_Couple","In_Migrant_UK","In_Migrant_Overseas","Born_in_UK","Born_in_EU","White_British_Irish","No_Religion","Christian","Communal_Resident","Lone_Parent_family","Household_5_plus","Detached","Flats","One_Bedroom","Crowded_Housing","Owned","Social_Rented","Private_Rented","Second_Address_UK","Second_Address_Overseas","Disabled","Poor_Health","Unpaid_Care_Provider","No_Central_Heating","Green_Central_Heating","Part_Time_Employee","Full_Time_Employee","Self_Employed","Unemployed","Student","No_Quals","Degree_plus","Extractive_Job","Productive_Job","Professional","Routine_Job","Cars_2_plus","Work_from_Home","Public_Transport"
"Bedfordshire","East","South East","South East","England",461692,38.6845693009317,25.3522205967282,12.192245967679,13.6444065425268,50.4671942378668,99.3313951261367,97.4012312613053,45.6728568626169,12.9988665838401,0.74471254095919,8.91352658184571,1.05152320030799,77.4784247284822,9.10404091142574,63.282562548245,34.4428756784746,47.3205711378504,1.01143827714941,11.238184704563,9.35978706903143,24.1495446882726,17.4445743081119,11.1310559775129,70.8690459719056,65.331721543968,15.001292587104,19.5781432623442,2.73902820760594,1.06181153590194,14.7134112251645,15.9409596190357,8.18143377421716,1.2962093159583,8.41552975273715,11.9424721067914,37.1382760643001,10.0675606602185,2.98310714471468,7.32657427816627,17.9148993408958,32.5715822983455,0.540431053209415,17.6912644501459,32.702506389275,12.4767071694391,42.5927004747895,29.9182180577816,6.13480184228989
"Cambridgeshire","East","South East","South East","England",618534.00000001,39.9699134395133,23.3051505893111,13.0809966026434,15.2641810850301,50.5798062207456,99.3248046530756,96.20649853176,45.5910476965815,14.3476801565368,0.905370953574566,10.2652884451416,1.38160948357348,78.9931203788375,10.4154602549283,73.7167655841085,43.5288054746581,48.6704059252867,3.06846472797112,9.60863034426392,6.74165990181298,34.0125854932724,14.5972945883483,10.0918368473951,75.680765173981,63.3780455479225,16.0182567206379,20.5158931766473,4.91469186895347,1.64713668305531,16.219799580559,16.4761922861509,8.09563441022925,1.10112818700404,8.43793314815531,11.4744405101585,38.0697858296951,8.82202894564956,2.26037333700024,8.77376327821513,16.7409676824959,36.6805459680813,1.35296540362438,16.6970986637379,36.184835654734,12.5187873254137,39.7251536588194,34.2943767519021,4.15260384369844
"Essex","East","South East","South East","England",4343080.80000027,41.3529499989517,23.1863271865594,11.2090148622446,17.1287543334998,51.2711219772853,99.6003919152445,97.5493093004358,45.7007637565487,14.0287721475298,0.788131757741311,8.68714646755488,0.533544701277986,88.5483264890541,4.79681925135645,83.7548563352631,44.1528835399425,50.6542590973197,0.968171301273836,10.9249058600193,6.5191541891806,27.4872470480839,19.7272022344572,11.3750737491815,72.5786227134156,68.5457947512354,14.1701601808112,17.2010565475998,2.95903029990259,0.945971517102425,16.6166633785092,17.172004421011,8.67069615545734,1.20190094593456,8.29063985114011,12.2873912942496,34.4439541187908,10.5084160896124,2.650346564384,5.79155703464317,19.1936385076532,27.6493720395344,0.66228990585472,17.4379980905937,33.7735177949546,10.8607884566381,41.8410720028216,31.6858190252172,7.42857660567446
"Hertfordshire","East","South East","South East","England",2775985.70000002,40.0263077332457,24.3164831498165,11.1315482148815,14.5033366700033,51.1672932660104,99.5588343882147,97.4338207371212,47.2274778206691,12.5279357984559,0.731939083028579,8.82030469867487,0.86548322672928,82.0562785549059,7.20778587021714,73.3859524876064,38.9294782021031,49.4753780696932,1.24107440774107,10.6815880319826,6.90506365812645,20.9781361695431,23.8530704206685,12.684721923096,70.2246050876801,65.6444334920283,17.6524186317165,16.6308757354053,3.32850071488274,1.30138688920068,14.4042495864611,14.5521840246381,8.22053503473659,1.08283736938235,7.90498200448128,11.9628604346851,37.3528936434206,11.4272457602819,2.55337118190776,6.86237403358409,14.6645006975449,39.4463224054769,0.391149980943975,15.4285265346786,40.4602948030458,8.93449041321849,42.3916735004929,39.3553768464549,6.85208803809836
"Norfolk","East","South East","South East","England",881035.200000004,44.0975327548812,20.3918700606907,11.2866218399336,21.078352180937,50.9617242376776,99.5056846951792,96.5699320019396,45.5814492383049,15.2380305530363,1.00693709206796,9.65237618715783,0.667241324266513,90.3470528776986,5.15503529036779,89.3738415894757,47.2138987927983,50.186431864342,1.83054621665284,9.07211293521757,4.97176901788828,38.7475484922454,12.9743806619627,8.96441882263326,78.4929402948531,65.7292519395853,15.7036546066543,18.4797904728458,4.33611790607989,0.813213130608578,20.1166218946582,20.4173902792317,9.33319749725848,1.2850348834046,10.602774349754,12.5891027412618,30.4246426764977,9.5925912406856,2.28069123390675,6.09939876833548,20.4211462174927,26.6984488272018,2.78576780836818,17.9200406081555,29.8145212593991,13.7561661121946,40.4237007285911,25.4343559349892,3.05499424726141
"Suffolk","East","South East","South East","England",576384.600000002,43.6275588812174,21.1786466426357,10.7828985941637,20.3420333751377,50.7401881199182,99.5921216219164,97.1640659937119,47.3366106548502,14.3164651469462,0.906919544019211,8.97221105747611,0.912369787003174,89.3321431810981,4.70929567614538,87.8404456982703,46.8848641764634,50.220733386853,1.60144500767726,9.0711214779548,5.23426632129323,35.1833973940001,12.3677062283758,8.88646373309428,79.6396288356893,66.0926346212078,14.9676057647048,18.8327282212102,3.37207009425653,0.80177207535264,18.2712822946505,18.5593736155534,8.99926184571746,1.30210441420292,9.91853977219918,12.7928854030833,32.8574193405101,9.57316860363662,2.27058565975957,4.8992172801198,19.6788824181699,28.1159526049359,2.02441545600611,17.110762800418,32.2480856268531,13.2837745870237,42.7471120665102,26.4725050001124,2.50307582541671
"Derbyshire","East Midlands","Central","Rest of E&W","England",1471746.1,42.2824174034258,21.8450431203877,11.4921727997333,18.1326272707214,50.8245746444836,99.5503861411131,97.1161276044918,45.1404489469972,15.1131110942719,0.932051737906352,8.19802688250687,0.434720672607626,91.7047427038421,3.61145491339497,87.3842913731436,45.2573351654703,48.7591359738488,1.09479581362051,10.1386496877338,5.3869923260421,30.756116495565,9.81792403389705,7.76420138866237,79.4099547039009,67.9686429713068,15.4919378513259,16.4061191871528,3.54793346559406,0.628790856017311,19.7423295454545,20.234147283812,9.94649237785718,1.13836271476131,8.95055352479282,12.7320283399365,34.6632590006456,8.16493502458514,2.32997821686703,5.73265778387404,19.1731213816293,29.4659512107553,1.08649343883957,21.0167123326394,30.8749476416896,15.0961091446378,39.677558946391,25.152590145796,4.46391255100619
"Leicester","East Midlands","Central","Rest of E&W","England",105571.2,35.4877539890767,27.4204970005779,17.201027753133,10.3396631856549,50.5898440467534,98.8937464360388,96.150933823275,40.9942850562137,9.44261303928484,0.717966804381937,9.7812931396469,1.92936281626593,58.8974715862073,8.64663796120693,33.6933725116735,24.3078160688377,26.1907976958327,3.58628323986423,12.9109492259867,15.2247124857715,11.3566426978993,23.0053066222878,15.6380506798129,60.3694196516183,47.1720478220254,23.1534904897597,29.3879377340273,5.69035545390169,1.42686212425828,15.5052893472357,17.7515322692236,7.66080706040679,1.89661263100051,8.27020449817482,13.3107913075749,30.8028534905777,6.24029249652935,3.56961224966668,15.2907783871455,26.6970891334751,26.7685636036878,0.133603552434554,19.8178602777921,18.932979629986,21.0077796409819,25.8894087355167,19.0597286586546,9.3962590522416
"Leicestershire","East Midlands","Central","Rest of E&W","England",715212.500000004,42.1022161955777,22.351448212353,11.4997873269311,18.1493652796826,50.6218713414172,99.6605227196918,97.3986803185438,48.3845664432572,14.1218613001909,0.849769472794304,9.38407655404774,0.574665416079864,90.3311209936437,3.47222222222222,84.1684868971481,42.6852778759695,48.4029075311235,1.95586837720339,9.25527320818882,5.75010458415989,38.1004433108642,8.03998569529632,6.20795519719308,82.7399025680472,74.4898923105989,10.4609187336374,14.9773285471377,4.9956132039053,0.90136376716992,16.5731989269576,16.8381835818235,9.06430889560801,0.857261419187677,8.75850598328661,12.2366503697449,35.8162306445682,9.11577850712933,1.94099061678628,7.73706573697041,16.7417956740672,31.9589945423656,1.26480078298574,19.9420311742172,34.6523512508682,12.6171199389887,47.5336277483325,30.4709350449443,2.36237166548074
"Lincolnshire","East Midlands","Central","Rest of E&W","England",885975.300000018,43.3182866755434,21.4060994598248,11.0876106719999,19.9837445149153,50.9637354910001,99.5211329670536,97.1182026174134,46.1594896798346,15.211596303352,0.865311799184649,9.37348826966367,0.565485048324692,90.583599311425,6.32374898973987,90.0112053054884,42.0379907412624,55.5704924848035,1.71038909091573,9.8841881947082,5.22735237151952,40.2153818390134,9.16757773072654,6.80469958220807,82.1912777802259,66.8422355869108,13.5607055772161,19.4805957871853,4.06945312014845,0.660175413602773,20.0825379836367,20.9754248819645,9.58187300859357,1.05612153896192,9.26209986255521,12.0686728395062,32.9403659611993,8.00231481481481,2.42294973544974,6.06294091710758,21.2341035779282,24.782380089969,2.99163832831417,20.4952152431289,27.400283290803,16.4489442732819,39.6402483679606,20.3924183255548,2.39716450032222
