LSOA21CD,Population,Households,Working_population,Students,Unemployed,Age_over_65,Disability,No_central_heating,Overcrowding,Working_from_home
E01032508,1734,836,736,158,4.5327755,12.1037464,26.816609,24,51,131
E01006801,1922,836,949,69,1.1479592,21.4992192,15.8168574,6,1,330
E01006773,1312,552,658,62,1.9230769,21.5209125,16.6920732,11,5,202
E01032509,1297,614,544,59,5.1158301,14.4067797,22.5905937,19,23,109
E01006690,1834,839,713,307,6.1114842,8.6150491,21.5921483,25,94,126
E01006692,2512,1083,1055,193,4.7212456,11.3989637,20.4617834,28,50,213
E01006695,1804,937,679,170,7.2,9.2017738,23.4478936,32,79,121
E01006759,1036,427,456,93,3.7457435,14.5192308,23.1660232,13,16,108
E01006760,1441,681,637,112,5.4848967,14.255911,26.1623872,32,41,140
E01006565,1513,619,669,97,2.5437202,19.9208443,24.9173827,16,25,134
E01006569,1418,605,587,72,3.8427948,18.899859,23.9069111,17,22,130
E01006573,1448,754,600,143,3.8211382,20.9254144,26.9337017,26,24,119
E01006712,1225,526,552,72,2.1956088,19.0359477,24.7346939,14,19,134
E01006713,1299,575,620,81,2.9162747,17.8598922,22.5558122,24,14,138
E01006691,1783,662,636,558,3.9333333,7.5196409,18.3398766,29,52,121
E01006694,1960,823,644,360,3.7651563,8.6867655,18.4183673,31,69,95
E01006696,1995,818,733,342,4.3935644,11.2725451,20.1002506,31,53,99
E01006697,1926,749,704,501,4.7199497,7.7841204,19.2107996,32,54,101
E01006746,1657,665,492,485,2.3943662,13.1483715,25.1659626,16,31,82
E01006512,2266,542,554,1548,2.6267281,2.7348919,13.6804943,30,20,178
E01006747,2756,731,733,1707,1.8752392,5.6200145,15.7111756,24,45,131
E01006748,2195,711,650,1395,1.8410853,5.6621005,14.9886105,15,38,107
E01006751,2698,791,648,1299,2.0876827,10.8308605,20.2742772,17,50,115
E01033763,2467,1029,933,581,2.9787234,12.9922858,22.8617754,22,57,186
E01006566,1366,592,645,76,2.3809524,20.1019665,23.4260615,19,15,175
E01006585,1337,618,551,84,2.7953111,15.9192825,26.8511593,13,17,120
E01006586,1730,851,806,104,3.5422343,18.9017341,21.9075145,13,11,244
E01006587,1525,679,746,98,2.8571429,20.6422018,20.1311475,10,20,216
E01006716,1414,663,593,83,3.4602076,16.9263456,26.5912306,22,22,141
E01006575,1290,556,594,80,3.490566,18.9628483,23.875969,11,11,190
E01006576,1762,734,932,70,1.8465909,18.2954545,16.5153235,17,0,310
E01006577,1524,592,730,72,1.8699187,21.5173316,15.8136483,13,9,281
E01006579,1563,596,776,91,1.9275251,21.5473146,15.1631478,8,3,253
E01006584,1415,627,730,65,2.9239766,21.2720848,17.0318021,11,4,216
E01006725,1498,723,687,114,3.7933818,13.760855,23.2977303,23,24,193
E01006726,1730,629,608,592,3.9014374,7.0642733,16.2427746,23,34,143
E01006727,1246,596,655,99,3.7392138,14.2971888,20.1444623,25,12,192
E01006728,1578,802,566,217,5.3301512,9.8287888,22.243346,31,41,115
E01034401,3788,1521,1336,493,4.8856549,7.4162048,17.8458289,65,147,278
E01006578,1346,537,686,56,2.1081577,17.3977695,15.8246657,14,4,224
E01006580,1292,505,600,69,2.0192308,22.3857475,14.628483,6,6,214
E01006581,1537,598,755,69,1.518785,21.7306441,14.638907,6,6,321
E01006855,1504,655,590,60,2.5306122,24.0691489,24.2021277,12,16,142
E01006616,1306,604,588,57,2.3572076,22.1455939,26.7228178,11,22,121
E01006489,1350,575,710,49,2.3297491,17.3945226,16.5185185,9,4,178
E01006734,1443,622,556,87,3.1135531,13.4442134,26.4726265,10,27,62
E01006688,1591,721,777,95,2.3827825,18.4441656,19.7988686,14,16,288
E01006836,1426,633,572,73,2.874049,23.7026648,26.0168303,4,16,110
E01006477,1459,662,652,64,3.6941581,13.95189,21.9328307,17,24,138
E01006478,1836,794,785,88,4.5827633,14.9180328,24.8366013,11,26,158
E01006774,1417,531,709,80,2.4158758,16.6077739,16.6549047,8,6,241
E01006479,1442,608,655,70,3.8630378,16.0416667,19.7642164,17,17,163
E01006532,1559,617,696,83,2.0626432,29.0570879,15.3944836,4,8,284
E01006480,1409,641,506,60,2.7124774,19.9573864,29.3825408,9,31,85
E01006481,1360,648,536,58,3.3274956,20.3826343,30.6617647,11,20,109
E01006514,2547,769,761,1455,1.5815085,7.3113208,20.6517472,23,14,312
E01006539,1365,588,617,71,1.6253208,30.1540719,16.7765568,6,7,278
E01006839,1272,566,569,40,1.9830028,22.8235294,25.2358491,9,9,99
E01006735,1472,608,550,89,3.6476868,13.4419552,28.736413,11,31,58
E01006471,1465,613,736,71,1.8548387,22.2829802,17.2013652,6,10,219
E01006762,1728,729,687,101,3.4660767,16.4351852,23.900463,31,23,116
E01006740,1575,680,611,85,4.1425021,12.4444444,27.4920635,8,29,144
E01006840,1420,659,644,42,1.498751,25.6518675,24.5070423,6,14,145
E01006604,1571,609,664,87,4.224208,14.3129771,25.3978358,10,23,128
E01006742,1620,656,767,91,2.3622047,15.0371287,19.2592593,11,17,217
E01006736,1499,571,612,96,4.1558442,12.6666667,25.4836558,8,33,98
E01006842,1651,671,714,79,2.3162939,13.2566586,24.1066021,12,21,98
E01006473,1610,630,873,64,1.4404852,17.9391682,15.1552795,2,7,269
E01006583,1630,465,622,454,0.6517017,19.0300798,13.8650307,2,5,258
E01006673,2224,944,747,377,4.3304843,8.1238779,22.4820144,23,106,161
E01006605,1613,678,637,122,4.9808429,18.4863524,26.4104154,7,46,120
E01006744,1479,733,723,67,3.8111019,15.6756757,21.9066937,16,30,207
E01006737,1386,553,554,70,3.2638259,16.9906407,28.4992785,4,21,87
E01006594,1323,557,598,58,0.7187781,30.1059002,14.5124717,11,6,262
E01006618,1607,693,688,104,2.7819549,20.931677,27.1313006,20,22,139
E01006787,1332,553,588,91,4.1006524,11.3363363,24.5495495,14,15,130
E01006745,1787,849,814,88,4.375,10.7623318,25.965305,20,36,200
E01033757,1318,523,381,755,4.2604502,2.6595745,16.2367223,17,32,111
E01006474,1929,820,988,75,0.7476636,23.0290456,18.5588388,5,7,281
E01006796,1611,624,713,108,1.0471204,24.8759305,13.097455,3,4,327
E01006837,1557,623,699,64,2.8396009,22.3506744,24.534361,9,12,131
E01006625,1369,609,643,66,1.6129032,27.6642336,21.6946676,11,9,178
E01006788,1665,686,842,95,2.3065476,14.9128082,19.1591592,13,14,183
E01006738,1402,646,534,78,3.3514493,16.4051355,26.4621969,15,25,80
E01006626,1417,590,661,68,2.6666667,23.288638,20.7480593,3,13,194
E01006739,2547,1007,1122,173,3.4108527,10.0470958,23.5963879,12,34,233
E01006838,1446,738,628,44,2.4732069,24.083045,24.9654219,17,15,116
E01006741,1882,822,892,82,3.2425422,12.7060074,23.1668438,18,23,158
E01006475,1430,545,610,59,1.7857143,34.0589888,29.8601399,5,6,168
E01006637,1514,651,614,109,3.7229437,12.8627968,23.1836196,11,17,66
E01006476,1404,584,716,50,1.322314,23.9145907,17.7350427,0,4,235
E01006790,1814,865,683,101,5.4340155,12.6791621,28.7761852,28,39,119
E01006841,1567,662,823,73,1.0393467,22.7969349,18.2514359,1,7,207
E01006522,1715,1017,1027,115,5.4511278,8.5764294,23.3819242,28,26,425
E01006743,1999,946,992,81,4.1488713,13.4,21.9609805,24,28,239
E01033768,1133,739,596,157,5.6956116,8.6115993,26.125331,18,20,200
E01006420,2410,908,1337,127,2.2279793,12.5467387,13.1950207,11,3,401
